Legacy for Monopolist or Revolutionary,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Monopolist or Revolutionary. You win the game. You may only play this if you are a Monopolist or a Revolutionary
Legacy for Lobbyist or Usurper,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Lobbyist or Usurper. You win the game. You may only play this if you are a Lobbyist or a Usurper
Legacy for Art Forger or Usurper,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Art Forger or Usurper. You win the game. You may only play this if you are a Art Forger or a Usurper
Legacy for Monopolist or Trickster,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Monopolist or Trickster. You win the game. You may only play this if you are a Monopolist or a Trickster
Legacy for Private General or Weaponsmith,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Private General or Weaponsmith. You win the game. You may only play this if you are a Private General or a Weaponsmith
Legacy for Mercenary or Monopolist,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Mercenary or Monopolist. You win the game. You may only play this if you are a Mercenary or a Monopolist
Legacy for Professor of Magic or Trickster,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Professor of Magic or Trickster. You win the game. You may only play this if you are a Professor of Magic or a Trickster
Legacy for General or Lobbyist,icons/trophy-cup.svg,You achieve a great legacy: Legacy for General or Lobbyist. You win the game. You may only play this if you are a General or a Lobbyist
Legacy for Revolutionary or Thief,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Revolutionary or Thief. You win the game. You may only play this if you are a Revolutionary or a Thief
Legacy for Inventor or Mad Scientist,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Inventor or Mad Scientist. You win the game. You may only play this if you are a Inventor or a Mad Scientist
Legacy for Artist in Residence or Crime Boss,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Artist in Residence or Crime Boss. You win the game. You may only play this if you are a Artist in Residence or a Crime Boss
Legacy for Alchemist or High Chancellor,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Alchemist or High Chancellor. You win the game. You may only play this if you are a Alchemist or a High Chancellor
Legacy for Crime Boss or Dark Sorcerer,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Crime Boss or Dark Sorcerer. You win the game. You may only play this if you are a Crime Boss or a Dark Sorcerer
Legacy for Patron or Politician,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Patron or Politician. You win the game. You may only play this if you are a Patron or a Politician
Legacy for General or Politician,icons/trophy-cup.svg,You achieve a great legacy: Legacy for General or Politician. You win the game. You may only play this if you are a General or a Politician
Legacy for Inventor or Mercenary,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Inventor or Mercenary. You win the game. You may only play this if you are a Inventor or a Mercenary
Legacy for Revolutionary or Trickster,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Revolutionary or Trickster. You win the game. You may only play this if you are a Revolutionary or a Trickster
Legacy for Patron or Thief,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Patron or Thief. You win the game. You may only play this if you are a Patron or a Thief
Legacy for Assassin or Dark Sorcerer,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Assassin or Dark Sorcerer. You win the game. You may only play this if you are a Assassin or a Dark Sorcerer
Legacy for Prophet or Usurper,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Prophet or Usurper. You win the game. You may only play this if you are a Prophet or a Usurper
Legacy for Assassin or Battle Mage,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Assassin or Battle Mage. You win the game. You may only play this if you are a Assassin or a Battle Mage
Legacy for Inventor or Minister for the Arts,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Inventor or Minister for the Arts. You win the game. You may only play this if you are a Inventor or a Minister for the Arts
Legacy for High Chancellor or Thief,icons/trophy-cup.svg,You achieve a great legacy: Legacy for High Chancellor or Thief. You win the game. You may only play this if you are a High Chancellor or a Thief
Legacy for Magic Dealer or Mercenary,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Magic Dealer or Mercenary. You win the game. You may only play this if you are a Magic Dealer or a Mercenary
Legacy for General or Minister for Magic,icons/trophy-cup.svg,You achieve a great legacy: Legacy for General or Minister for Magic. You win the game. You may only play this if you are a General or a Minister for Magic
Legacy for Cleric or Minister for Magic,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Cleric or Minister for Magic. You win the game. You may only play this if you are a Cleric or a Minister for Magic
Legacy for Assassin or Monopolist,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Assassin or Monopolist. You win the game. You may only play this if you are a Assassin or a Monopolist
Legacy for Inventor or Politician,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Inventor or Politician. You win the game. You may only play this if you are a Inventor or a Politician
Legacy for Magic Dealer or Thief,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Magic Dealer or Thief. You win the game. You may only play this if you are a Magic Dealer or a Thief
Legacy for Minister for the Arts or Professor of Magic,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Minister for the Arts or Professor of Magic. You win the game. You may only play this if you are a Minister for the Arts or a Professor of Magic
Legacy for Art Forger or Thief,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Art Forger or Thief. You win the game. You may only play this if you are a Art Forger or a Thief
Legacy for Trickster or Usurper,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Trickster or Usurper. You win the game. You may only play this if you are a Trickster or a Usurper
Legacy for Artist in Residence or Lobbyist,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Artist in Residence or Lobbyist. You win the game. You may only play this if you are a Artist in Residence or a Lobbyist
Legacy for Thief or Usurper,icons/trophy-cup.svg,You achieve a great legacy: Legacy for Thief or Usurper. You win the game. You may only play this if you are a Thief or a Usurper
